group	date	value
1	2013-01	1632.33
1	2012-01	1861.68
1	2011-01	2476.69
1	2010-01	1606.47
1	2009-01	1856.34
1	2008-01	1728.55
2	2013-01	1998.77
2	2012-01	2420.4
2	2011-01	2037.88
2	2010-01	1745.86
2	2009-01	1060.6
2	2008-01	1005.08
3	2013-01	1998.97
3	2012-01	1861.16
3	2011-01	1690.11
3	2010-01	1271.3
3	2009-01	1033.85
3	2008-01	977.84
4	2013-01	3250.18
4	2012-01	3593.28
4	2011-01	3414.3
4	2010-01	3478.77
4	2009-01	3232.88
4	2008-01	3363.06
5	2013-01	476.91
5	2012-01	440.31
5	2011-01	629.25
5	2010-01	375.3
5	2009-01	428.92
5	2008-01	414.94
6	2013-01	2697.49
6	2012-01	3531.16
6	2011-01	1418.68
6	2010-01	924.31
6	2009-01	704.05
6	2008-01	665.77
